"Environment and Climate Change Canada"
"Monthly Values for August - 2019"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"NANAIMO A","49.054","-123.870","BC","19.3","0",NA,"31.6","0","8.7","0","",,NA,"",,NA,"","","",,NA,"8.1","47.3","1025365"
"NANAIMO A","49.054","-123.870","BC","19.2","0",NA,"31.5","0","8.5","0","0.0","0",NA,"20.1","0",NA,"0.0","5","","",NA,"9.3","47.6","1025369"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"31.1","0","108.0","0.0","5","","",NA,"","","10253G0"
"PORT HARDY A","50.681","-127.367","BC","14.8","3",NA,"21.2","3","7.2","3","0.0","0",NA,"78.3","1",NA,"","8","",,NA,"90.3","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","18.4","0",NA,"29.3","0","9.2","0","",,NA,"10.4","0",NA,"","2","",,NA,"14.5","26.8","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","18.5","1","1.7","30.0","1","6.0","1","0.0","1",NA,"34.7","1",NA,"0.0","3","","",NA,"16.2","29.9","1026565"
"SISTERS ISLAND","49.487","-124.435","BC","19.0","0",NA,"25.1","0","14.2","0","",,NA,"",,NA,"","","",,NA,"6.6","37.9","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","18.8","5",NA,"31.5","5","15.0","5","0.0","5",NA,"9.8","5",NA,"0.0","2","","",NA,"8.0","29.0","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","16.4","0","2.3","24.0","0","11.5","0","0.0","0",NA,"132.6","0","179.0","0.0","10","","",NA,"53.4","2.6","1031316"
"ESTEVAN POINT","49.383","-126.543","BC","16.8","0","2.0","22.5","0","11.5","0","0.0","0",NA,"150.0","0","154.0","0.0","12","","",NA,"39.6","1.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","15.9","0",NA,"20.5","0","11.3","0","",,NA,"106.8","0",NA,"","10","",,NA,"64.8","0.0","1032731"
"LENNARD ISLAND","49.111","-125.923","BC","13.8","0",NA,"22.5","0","7.0","0","0.0","0",NA,"106.4","0","127.0","0.0","9","","",NA,"130.3","0.0","1034600"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","17.5","0","1.2","28.0","0","11.0","0","0.0","0",NA,"110.2","0","111.0","0.0","9","","",NA,"28.1","11.2","1035614"
"PACHENA POINT","48.723","-125.097","BC","15.6","2","1.4","24.0","2","9.0","2","0.0","2",NA,"118.6","2",NA,"0.0","9","","",NA,"68.3","0.0","1035940"
"QUATSINO","50.534","-127.653","BC","16.4","0","0.7","24.0","0","9.0","0","0.0","0",NA,"72.6","0","88.0","0.0","9","","",NA,"49.1","0.8","1036570"
"QUATSINO LIGHTSTATION","50.441","-128.033","BC","16.8","2","1.2","27.5","2","11.5","2","0.0","2",NA,"34.4","2",NA,"","9","","",NA,"42.6","8.2","1036572"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","19.0","0",NA,"32.7","0","7.4","0","",,NA,"45.0","0",NA,"","4","",,NA,"6.9","38.7","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","14.5","2",NA,"19.9","2","11.6","2","",,NA,"54.2","2",NA,"","9","",,NA,"102.2","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","15.1","2",NA,"21.2","2","11.3","2","",,NA,"75.0","2",NA,"","11","",,NA,"82.7","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","18.0","17",NA,"31.0","17","6.5","17","",,NA,"56.6","29",NA,"","2","","",NA,"14.7","15.0","1037899"
"TOFINO A","49.082","-125.773","BC","16.4","0","1.4","25.5","0","9.5","0","0.0","0",NA,"121.6","0","138.0","0.0","7","","",NA,"50.0","1.3","1038205"
"TOFINO A","49.082","-125.773","BC","16.4","0",NA,"25.5","0","9.6","0","",,NA,"",,NA,"","","",,NA,"51.5","1.5","1038210"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","16.9","0","1.8","26.0","0","9.5","0","0.0","0",NA,"135.9","0","155.0","0.0","9","","",NA,"37.2","2.6","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","17.7","5",NA,"30.5","5","9.0","5","0.0","5",NA,"141.5","5",NA,"0.0","10","","",NA,"21.7","15.1","1039035"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"0.0","29",NA,"12.8","29",NA,"","2","","",NA,"","","104091B"
"GIBSONS GOWER POINT","49.386","-123.541","BC","18.8","0","0.9","25.0","0","13.0","0","0.0","0",NA,"39.6","0","98.0","0.0","7","","",NA,"5.0","29.5","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","19.2","2","0.9","27.0","2","13.5","2","0.0","2",NA,"17.2","2",NA,"0.0","3","","",NA,"2.6","36.3","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","19.3","0",NA,"26.0","0","14.5","0","",,NA,"28.0","0",NA,"","4","",,NA,"2.8","43.5","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"27.8","0",NA,"0.0","6","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","19.2","0",NA,"29.2","0","11.2","0","",,NA,"",,NA,"","","",,NA,"7.2","43.1","1046332"
"POWELL RIVER A","49.834","-124.500","BC","18.0","0","0.8","28.5","0","8.0","0","0.0","0",NA,"33.2","0","73.0","0.0","5","","",NA,"16.9","17.4","1046391"
"POWELL RIVER","49.835","-124.497","BC","18.0","0",NA,"28.5","0","8.1","0","",,NA,"30.6","0",NA,"","4","",,NA,"18.3","17.4","1046392"
"POWELL RIVER A","49.834","-124.500","BC","17.9","0",NA,"28.3","0","7.8","0","",,NA,"",,NA,"","","",,NA,"18.6","15.4","1046396"
"SECHELT AUT","49.458","-123.715","BC","18.0","0",NA,"28.9","0","9.3","0","",,NA,"0.0","24",NA,"","0","",,NA,"16.9","17.4","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","18.9","0",NA,"31.6","0","8.7","0","",,NA,"31.3","0",NA,"","5","",,NA,"7.3","34.3","10476F0"
"WHISTLER","50.129","-122.955","BC","17.1","11","0.6","31.0","11","6.0","11","0.0","11",NA,"15.2","11",NA,"0.0","4","","",NA,"24.5","5.6","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","13.8","11",NA,"17.9","11","10.3","11","",,NA,"61.8","11",NA,"","9","",,NA,"84.1","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","14.5","1",NA,"19.5","1","10.4","1","",,NA,"114.8","1",NA,"","8","",,NA,"106.1","0.0","1054222"
"LANGARA","54.255","-133.058","BC","14.6","0","1.0","21.5","0","8.0","0","0.0","0",NA,"96.8","0","72.0","0.0","7","","",NA,"106.5","0.0","1054500"
"LANGARA ISLAND RCS","54.255","-133.058","BC","13.6","15",NA,"20.5","15","8.5","15","",,NA,"100.3","15",NA,"","7","",,NA,"70.0","0.0","1054503"
"MASSET A","54.027","-132.125","BC","14.6","0",NA,"20.6","0","3.6","0","",,NA,"",,NA,"","","",,NA,"105.1","0.0","1054929"
"ROSE SPIT (AUT)","54.159","-131.661","BC","14.6","0",NA,"20.1","0","5.4","0","",,NA,"108.3","0",NA,"","10","",,NA,"106.0","0.0","1056869"
"SANDSPIT AIRPORT AUTO","53.249","-131.813","BC","15.4","0",NA,"21.2","0","6.5","0","",,NA,"66.8","0",NA,"","7","",,NA,"81.7","0.1","1057051"
"SANDSPIT","53.254","-131.814","BC","15.7","0",NA,"20.7","0","8.4","0","",,NA,"70.9","0",NA,"","8","",,NA,"72.1","0.1","1057052"
"ADDENBROKE ISLAND","51.604","-127.864","BC","16.0","0","0.8","22.0","0","10.0","0","0.0","0",NA,"74.8","0","54.0","0.0","12","","",NA,"61.0","0.3","1060080"
"BELLA BELLA","52.185","-128.157","BC","15.5","0",NA,"25.2","0","6.3","0","",,NA,"117.3","0",NA,"","11","",,NA,"79.0","0.0","1060815"
"BELLA COOLA AIRPORT","52.389","-126.587","BC","17.7","1",NA,"28.4","1","7.7","1","",,NA,"50.2","1",NA,"","6","",,NA,"24.9","14.4","1060844"
"BELLA COOLA A","52.388","-126.596","BC","17.6","1",NA,"28.0","1","7.9","1","",,NA,"",,NA,"","","",,NA,"26.9","13.4","1060848"
"BOAT BLUFF","52.643","-128.524","BC","16.0","0","0.9","25.0","0","10.5","0","0.0","0",NA,"194.6","0","84.0","0.0","13","","",NA,"66.2","2.8","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","14.8","0","0.8","20.0","0","10.5","0","0.0","0",NA,"155.2","0","138.0","0.0","12","","",NA,"97.8","0.0","1060902"
"BONILLA ISLAND (AUT)","53.493","-130.639","BC","14.2","1",NA,"19.0","1","11.1","1","",,NA,"96.2","1",NA,"","9","",,NA,"113.8","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.471","BC","16.9","1",NA,"24.7","1","11.0","1","",,NA,"106.6","1",NA,"","10","",,NA,"42.9","9.2","1061458"
"CUMSHEWA ISLAND","53.030","-131.602","BC","15.0","1",NA,"19.6","1","10.6","1","",,NA,"10.8","1",NA,"","5","",,NA,"89.0","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","16.6","0","0.8","23.5","0","10.0","0","0.0","0",NA,"109.2","0","75.0","0.0","13","","",NA,"44.3","2.0","1062544"
"GREEN ISLAND","54.569","-130.708","BC","15.0","0","0.2","22.0","0","10.5","0","0.0","0",NA,"195.2","0","118.0","0.0","9","","",NA,"92.4","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","14.9","1",NA,"21.1","1","10.5","1","",,NA,"0.4","1",NA,"","0","",,NA,"92.5","0.0","1063303"
"HERBERT ISLAND (AUT)","50.940","-127.632","BC","14.2","0",NA,"20.0","0","9.5","0","",,NA,"50.4","0",NA,"","9","",,NA,"119.0","0.0","1063461"
"HOLLAND ROCK","54.172","-130.361","BC","13.8","0",NA,"18.3","0","9.6","0","",,NA,"85.0","0",NA,"","9","",,NA,"129.6","0.0","1063496"
"IVORY ISLAND","52.270","-128.407","BC","15.7","0","0.8","22.0","0","10.5","0","0.0","0",NA,"102.8","0","63.0","0.0","13","","",NA,"70.4","0.0","1063690"
"KEMANO","53.563","-127.943","BC","17.4","0","0.9","33.0","0","7.0","0","0.0","0",NA,"93.2","0","121.0","0.0","8","","",NA,"50.3","30.2","1064020"
"KITIMAT TOWNSITE","54.054","-128.634","BC","18.5","15","2.0","30.0","15","5.0","15","0.0","15",NA,"7.0","15",NA,"","2","","",NA,"10.0","18.5","1064320"
"KITIMAT 2","54.010","-128.705","BC","16.2","12","-0.8","32.0","12","4.0","12","0.0","12",NA,"63.8","12",NA,"0.0","6","","",NA,"43.0","9.6","1064321"
"LUCY ISLAND LIGHTSTATION","54.296","-130.609","BC","14.4","1",NA,"20.0","1","10.3","1","",,NA,"",,NA,"","","",,NA,"109.1","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","15.8","0","1.1","21.5","0","12.0","0","0.0","0",NA,"89.6","0","67.0","0.0","13","","",NA,"68.1","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","14.3","0",NA,"22.2","0","7.2","0","",,NA,"172.3","0",NA,"","10","",,NA,"113.4","0.0","1066482"
"PRINCE RUPERT MONT CIRC","54.320","-130.290","BC","",,NA,"",,"",,"0.0","24",NA,"0.0","24",NA,"","0","","",NA,"","","1066488"
"STEWART A","55.933","-129.983","BC","14.9","0",NA,"26.6","0","6.6","0","",,NA,"",,NA,"","","",,NA,"98.9","2.3","1067748"
"TERRACE PCC","54.502","-128.625","BC","17.9","2","1.1","31.0","2","6.0","2","0.0","2",NA,"39.0","2",NA,"0.0","6","","",NA,"35.9","32.6","1068131"
"TERRACE A","54.469","-128.578","BC","16.9","1",NA,"30.2","1","4.5","1","0.0","0",NA,"73.5","0",NA,"","10","",,NA,"55.4","21.6","1068134"
"TRIPLE ISLAND","54.295","-130.880","BC","14.9","0",NA,"23.0","0","11.0","0","0.0","0",NA,"80.2","0",NA,"0.0","7","","",NA,"96.3","0.8","1068250"
"EQUITY SILVER","54.199","-126.277","BC","11.3","4","-0.3","26.0","4","0.0","4","0.0","4",NA,"39.7","4",NA,"0.0","8","","",NA,"182.4","0.5","1072692"
"HOUSTON","54.396","-126.668","BC","15.2","2",NA,"30.5","2","1.0","2","0.0","4",NA,"26.0","4",NA,"0.0","7","","",NA,"91.4","9.4","1073615"
"SMITHERS","54.825","-127.183","BC","15.0","1",NA,"30.2","1","1.0","1","",,NA,"27.5","1",NA,"","10","",,NA,"97.1","7.7","1077499"
"SMITHERS AIRPORT AUTO","54.824","-127.189","BC","15.3","1",NA,"30.0","1","2.3","0","",,NA,"20.4","0",NA,"","7","",,NA,"89.6","9.5","1077501"
"SUSKWA VALLEY","55.289","-127.171","BC","13.0","0","-0.9","27.5","0","-0.5","0","0.0","0",NA,"69.8","0","115.0","0.0","14","","",NA,"154.6","0.3","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","14.6","1",NA,"26.7","1","3.3","1","",,NA,"1.4","1",NA,"","0","",,NA,"104.7","2.1","1085836"
"PEMBERTON AIRPORT (WIND)","50.302","-122.738","BC","20.0","0",NA,"35.8","0","7.8","0","",,NA,"",,NA,"","","",,NA,"3.2","63.9","1086081"
"PEMBERTON AIRPORT CS","50.306","-122.734","BC","20.2","4",NA,"35.0","4","8.6","4","",,NA,"",,NA,"","","",,NA,"2.8","63.2","1086082"
"PUNTZI MOUNTAIN (AUT)","52.114","-124.136","BC","14.4","1",NA,"30.5","1","-0.8","1","",,NA,"29.6","1",NA,"","6","",,NA,"109.7","1.5","1086558"
"TATLAYOKO LAKE RCS","51.675","-124.403","BC","14.6","2",NA,"29.4","2","-0.8","2","",,NA,"34.6","2",NA,"","3","",,NA,"98.8","0.0","1088015"
"BURNS LAKE DECKER LAKE","54.383","-125.959","BC","13.1","1",NA,"29.8","1","-1.5","1","",,NA,"20.3","1",NA,"","7","",,NA,"148.9","0.4","1091174"
"FORT ST JAMES AUTO","54.455","-124.286","BC","15.4","0",NA,"29.9","0","4.0","0","",,NA,"34.6","0",NA,"","7","",,NA,"89.8","10.0","1092975"
"MCLEESE LAKE GRANITE MT","52.531","-122.286","BC","14.4","16",NA,"28.0","12","2.0","11","0.0","12",NA,"67.8","12",NA,"","10","","",NA,"56.7","2.8","1095018"
"PRINCE GEORGE","53.884","-122.678","BC","14.3","6",NA,"27.7","6","1.0","6","",,NA,"65.1","0",NA,"","9","",,NA,"96.7","3.3","1096439"
"PRINCE GEORGE AIRPORT AUTO","53.889","-122.672","BC","14.3","0",NA,"28.0","0","1.1","0","",,NA,"66.3","0",NA,"","10","",,NA,"118.3","3.2","1096453"
"PRINCE GEORGE MASSEY AUTO","53.900","-122.791","BC","16.2","1",NA,"29.9","1","4.7","1","",,NA,"54.9","1",NA,"","8","",,NA,"67.0","11.5","1096454"
"PRINCE GEORGE STP","53.880","-122.768","BC","16.3","1","0.3","29.0","1","5.0","1","0.0","1",NA,"66.6","1",NA,"0.0","12","","",NA,"64.0","11.9","1096468"
"QUESNEL","53.026","-122.510","BC","16.0","3",NA,"30.3","3","1.8","3","",,NA,"36.1","3",NA,"","7","",,NA,"67.5","12.0","1096629"
"QUESNEL AIRPORT AUTO","53.027","-122.506","BC","16.3","0",NA,"31.2","0","1.7","0","",,NA,"37.2","0",NA,"","9","",,NA,"66.3","13.7","1096631"
"SPOKIN LAKE 4E","52.184","-121.686","BC","12.6","0","-0.1","28.0","0","-3.0","0","0.0","0",NA,"67.8","0","129.0","0.0","10","","",NA,"166.0","0.0","1097646"
"WILLIAMS LAKE A","52.183","-122.054","BC","16.0","8",NA,"28.8","8","4.4","8","0.0","1",NA,"33.3","0",NA,"","6","",,NA,"52.4","7.2","1098941"
"VANDERHOOF","54.033","-124.017","BC","16.5","0","0.7","31.0","0","3.0","0","0.0","0",NA,"34.6","0","80.0","0.0","7","","",NA,"63.7","17.6","1098D90"
"108 MILE HOUSE ABEL LAKE","51.623","-121.263","BC","15.8","0",NA,"30.5","0","3.5","0","0.0","0",NA,"31.6","0",NA,"0.0","8","","",NA,"72.9","6.0","109E7R6"
"ABBOTSFORD A","49.025","-122.360","BC","19.3","0",NA,"31.8","0","9.6","0","0.0","0",NA,"20.5","0",NA,"","4","",,NA,"7.0","47.8","1100031"
"ABBOTSFORD A","49.025","-122.360","BC","19.3","0",NA,"31.8","0","9.6","0","",,NA,"",,NA,"","","",,NA,"7.0","47.8","1100032"
"AGASSIZ RCS","49.243","-121.760","BC","19.6","1","0.8","32.4","1","9.2","1","",,NA,"55.2","1",NA,"","5","",,NA,"8.6","56.6","1100119"
"AGASSIZ CDA","49.243","-121.760","BC","",,"","",,"12.5","26","0.0","27",NA,"41.6","27",NA,"","1","","",NA,"","","1100120"
"WHISTLER - NESTERS","50.129","-122.955","BC","17.3","1",NA,"31.0","1","6.2","1","",,NA,"",,NA,"","","",,NA,"32.8","13.1","1100875"
"BURNABY SIMON FRASER U","49.278","-122.918","BC","18.4","24","1.2","27.5","24","13.0","24","0.0","24",NA,"4.0","24",NA,"","1","","",NA,"2.9","5.8","1101158"
"CALLAGHAN VALLEY","50.144","-123.111","BC","15.6","1",NA,"28.5","1","5.8","1","",,NA,"",,NA,"","","",,NA,"80.5","8.1","1101300"
"CLOVERDALE EAST","49.109","-122.698","BC","19.7","0",NA,"30.0","0","11.0","0","0.0","0",NA,"24.9","0",NA,"0.0","6","","",NA,"4.7","57.6","1101708"
"CULTUS LAKE","49.079","-121.979","BC","19.7","0",NA,"33.8","0","9.8","0","",,NA,"46.4","0",NA,"","3","",,NA,"6.7","59.5","1102221"
"DELTA BURNS BOG","49.126","-123.002","BC","18.0","0",NA,"29.8","0","7.5","0","",,NA,"",,NA,"","","",,NA,"18.3","17.2","1102415"
"DELTA TSAWWASSEN BEACH","49.011","-123.093","BC","19.6","2","1.7","26.0","2","13.5","2","0.0","2",NA,"17.6","2",NA,"0.0","3","","",NA,"0.9","46.5","1102425"
"FORT LANGLEY TELEGRAPH TRAIL","49.145","-122.551","BC","19.8","8",NA,"31.0","8","10.5","8","0.0","8",NA,"17.0","8",NA,"0.0","4","","",NA,"2.2","44.5","1102912"
"HANEY UBC RF ADMIN","49.264","-122.573","BC","19.1","9","1.3","31.0","9","11.0","9","0.0","9",NA,"46.6","9",NA,"","5","","",NA,"6.3","30.1","1103332"
"MISSION WEST ABBEY","49.153","-122.271","BC","19.4","0","1.1","30.5","0","12.0","0","0.0","0",NA,"31.4","0","50.0","0.0","7","","",NA,"10.0","54.1","1105192"
"N VANC GROUSE MTN RESORT","49.381","-123.078","BC","15.1","2","1.1","29.5","2","5.5","2","0.0","2",NA,"63.3","2",NA,"0.0","5","","",NA,"99.2","16.1","1105658"
"N VANCOUVER WHARVES","49.315","-123.115","BC","",,NA,"",,"",,"0.0","4",NA,"26.2","4",NA,"0.0","3","","",NA,"","","1105669"
"PITT MEADOWS CS","49.208","-122.690","BC","19.6","0",NA,"31.2","0","9.8","0","",,NA,"35.9","0",NA,"","6","",,NA,"5.5","56.4","1106178"
"POINT ATKINSON","49.330","-123.265","BC","18.7","0",NA,"25.5","0","14.1","0","",,NA,"30.2","0",NA,"","10","",,NA,"5.6","28.2","1106200"
"RICHMOND DALLYN 2","49.179","-123.087","BC","",,NA,"",,"",,"0.0","0",NA,"25.2","0",NA,"0.0","5","","",NA,"","","1106764"
"PORT MOODY GLENAYRE","49.279","-122.881","BC","19.7","0","1.6","29.0","0","11.0","0","0.0","0",NA,"41.2","0","63.0","0.0","5","","",NA,"5.2","58.0","1106CL2"
"RICHMOND NATURE PARK","49.171","-123.093","BC","19.0","0","0.7","30.0","0","9.0","0","0.0","0",NA,"22.8","0","57.0","0.0","6","","",NA,"6.4","36.3","1106PF7"
